95	40	5	895660940
6	72	2	893582191
187	614	4	897102571
73	744	5	897253615
173	545	5	897073850
776	519	5	894943711
756	732	4	891921032
537	827	2	896989574
734	215	5	888955614
875	919	2	893244686
826	834	3	886193794
536	188	2	893257103
366	97	2	894984397
520	448	2	887991290
653	814	5	888967866
926	787	4	892773449
4	648	1	894148980
448	201	3	887351798
618	326	2	895127588
530	650	1	893130550
177	480	2	896930985
818	465	4	886691731
344	88	5	890302731
986	885	2	886199412
571	740	3	894657445
26	883	2	891087162
996	125	2	894021638
425	843	1	894598265
444	858	4	886801609
413	992	2	896925638
149	574	4	890186958
752	601	2	888939139
478	26	2	897046196
441	643	4	890602279
779	671	1	893317612
271	166	5	891923924
158	898	2	889494672
279	286	1	888410234
719	583	3	891321699
145	719	5	889455807
662	516	1	888827844
342	527	5	888621786
600	364	1	893564234
791	60	4	889253571
264	523	4	892337697
627	606	5	896810449
527	139	1	891837881
508	418	1	887823265
348	692	1	896696684
995	292	1	890092346
