65,9167,36.37
30,6922,22.39
61,5184,26.18
77,7691,25.54
82,8092,75.77
71,8890,94.64
50,9153,76.3
61,8735,55.59
63,9780,55.53
92,6892,91.61
65,5513,58.33
80,5067,51.88
70,8764,48.88
70,9406,97.78
57,7964,72.44
40,5929,82.9
74,9322,69.24
99,8537,80.39
13,6175,36.7
66,9125,19.2
68,8232,42.99
14,9485,75.74
39,5692,59.79
69,8562,27.35
49,9651,39.16
66,6404,84.32
56,8846,53.35
23,6976,65.54
78,6781,14.69
74,9834,20.68
49,6542,71.46
26,8406,67.82
78,7957,65.86
28,8856,42.8
89,6771,41.89
82,8557,17.77
21,5735,25.88
79,7176,80.45
73,6527,76.28
74,6867,21.37
53,9578,95.97
11,7896,70.73
65,5143,28.14
98,8349,91.39
21,6108,23.42
40,5677,55.34
89,5141,40.13
36,7721,90.86
15,7440,80.51
81,8076,87.18
